City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,ponta do sol,32.6811,-17.1041,59.32,62,41,8.25,pt,1675826860
248,cayenne,4.9371,-52.3258,77.02,88,20,3.44,fr,1675826861
249,bolshoye murashkino,55.7838,44.7763,-0.17,100,100,6.2,ru,1675826861
250,srednekolymsk,67.4555,153.7071,-26.55,95,100,5.5,ru,1675826861
251,el reten,11.8918,-85.9101,80.82,78,6,18.79,ni,1675826862
252,moose jaw,50.4015,-105.5429,32.2,86,99,10.36,ca,1675826862
253,gwādar,25.148,62.3255,70.12,66,3,4.32,pk,1675826862
254,zmiyevka,52.6722,36.3801,11.16,96,11,4.9,ru,1675826862
255,lens,50.4292,2.832,31.57,62,28,3.2,fr,1675826863
256,faanui,-16.4824,-151.7338,80.11,72,24,12.21,fr,1675826863
257,locri,38.2385,16.2655,41.4,65,59,7.31,it,1675826863
258,nova olinda do norte,-3.8927,-59.0953,73.89,98,99,1.57,br,1675826863
259,ipswich,52.0579,1.1526,30.96,100,100,4.61,gb,1675826864
260,buraydah,26.3317,43.9717,46.83,81,20,2.3,sa,1675826864
261,paris,48.8589,2.32,33.12,85,0,6.91,fr,1675826864
262,noshiro,40.2118,140.0272,36.45,54,85,6.96,jp,1675826865
263,matagami,49.7576,-77.63,14.09,79,100,25.32,ca,1675826865
264,narón,43.5011,-8.1923,44.76,71,27,7.9,es,1675826865
265,ségou,13.4415,-6.2681,76.33,17,19,8.08,ml,1675826865
266,puquio,-14.6946,-74.1237,51.4,91,100,4.74,pe,1675826866
267,tabou,4.4194,-7.3604,78.42,86,100,6.08,ci,1675826866
268,ahipara,-35.1664,173.1562,71.71,57,27,9.51,nz,1675826866
269,halifax,44.6486,-63.5859,24.28,81,17,9.22,ca,1675826866
270,umm lajj,16.5605,43.89,55.83,94,38,2.64,ye,1675826867
271,rawson,-43.2991,-65.1057,65.21,60,2,4.81,ar,1675826867
272,vila franca do campo,37.7172,-25.4335,55.81,78,92,10.09,pt,1675826868
273,vanimo,-2.6848,141.3009,77.88,95,100,7.78,pg,1675826868
274,yumen,40.2917,97.0449,30.16,46,19,14.47,cn,1675826868
275,zyryanka,65.7336,150.8933,-26.77,91,100,4.29,ru,1675826868
276,аксарка,66.5582,67.8052,7.02,90,100,20.18,ru,1675826869
277,presidente médici,-2.3765,-45.8207,72.73,99,100,2.44,br,1675826869
278,luba,17.3173,120.6946,82.2,44,61,3.85,ph,1675826869
279,mabaruma - kumaka - hosororo,8.2037,-59.7849,71.08,99,20,2.59,gy,1675826870
280,alta floresta,-9.8699,-56.0835,71.11,97,100,1.34,br,1675826870
281,lüderitz,-26.65,15.1573,65.12,83,19,19.19,na,1675826870
282,znamenskoye,43.6773,45.1288,23.92,94,100,12.35,ru,1675826870
283,city of mount gambier,-37.8247,140.782,74.41,42,12,10.74,au,1675826871
284,ербогачён,61.275,108.0097,-14.4,99,99,2.19,ru,1675826871
285,усть-калманка,52.1171,83.3048,10.38,96,100,4.79,ru,1675826871
286,bosaso,11.2785,49.18,73.4,84,47,1.19,so,1675826872
287,lagerenza 4 de mayo,-19.9309,-60.7718,73.98,89,100,4.16,py,1675826872
288,watertown,42.3652,-71.1844,33.85,83,100,9.22,us,1675826872
289,bozoum,6.3147,16.3806,67.69,20,52,2.68,cf,1675826872
290,koungou,-12.7358,45.2067,80.38,83,0,4.61,fr,1675826873
291,rundu,-17.9137,19.7673,63.91,94,100,3.8,na,1675826873
292,antofagasta,-23.6464,-70.398,70.99,81,100,4.65,cl,1675826873
293,alice springs,-23.6984,133.8813,94.55,40,40,11.5,au,1675826873
294,taoudeni,22.6762,-3.9805,62.8,21,100,11.88,ml,1675826874
295,chervone,49.9503,28.8692,13.15,97,49,5.03,ua,1675826874
296,khasan,42.4308,130.6434,27.88,41,0,16.4,ru,1675826874
297,great falls,47.5049,-111.2919,45.36,47,0,19.57,us,1675826875
298,codrington,51.5082,-2.3937,36.37,91,1,3.02,gb,1675826875
299,krasnyy kholm,58.0565,37.1147,22.51,91,100,11.61,ru,1675826875
300,dillon,45.2141,-112.6346,28.81,74,75,11.5,us,1675826875
301,lorengau,-2.033,147.2789,78.1,92,100,19.1,pg,1675826876
302,kaitangata,-46.2817,169.8464,58.91,49,18,14.99,nz,1675826876
303,constitución,-35.3318,-72.4119,60.15,68,0,9.53,cl,1675826876
304,rockingham,43.18,-72.5006,33.03,89,100,8.01,us,1675826876
305,moçâmedes,-15.1951,12.1458,69.78,76,97,5.55,ao,1675826877
306,new norfolk,-42.7802,147.0615,61.16,32,6,4.59,au,1675826877
307,guimbal,10.6615,122.3229,81.64,71,100,17.2,ph,1675826877
308,shuangyang district,43.5227,125.6588,18.9,65,4,7.99,cn,1675826878
309,ust-nera,64.5664,143.2378,-31.25,95,78,1.21,ru,1675826878
310,te anau,-45.4145,167.7175,57.11,47,47,12.64,nz,1675826878
311,balkanabat,39.5116,54.354,46.49,72,100,10.07,tm,1675826878
312,wurrumiyanga,-11.7626,130.6321,90.21,57,53,9.8,au,1675826879
313,nagapattinam,10.7648,79.8431,77.36,74,92,7.81,in,1675826879
314,koulikoro,12.8646,-7.5561,75.0,17,44,4.97,ml,1675826879
315,muroto,33.2899,134.1523,55.38,56,9,4.5,jp,1675826879
316,fairbanks,64.8378,-147.7167,6.8,78,100,0.0,us,1675826880
317,kalmar,56.6629,16.3662,36.16,97,100,6.91,se,1675826880
318,sayat,45.8273,3.051,21.22,93,0,3.44,fr,1675826880
319,kalmunai,7.4132,81.8269,79.77,81,92,10.29,lk,1675826880
320,ishkashim,36.709,71.5768,5.7,39,10,3.85,af,1675826881
321,embi,48.8295,58.1474,4.59,90,62,14.5,kz,1675826881
322,padang,-0.9248,100.3633,82.44,65,20,4.61,id,1675826881
323,øksfjord - ákšovuotna,70.2395,22.3505,39.22,72,33,14.83,no,1675826882
324,sicamous,50.8368,-118.9826,36.18,98,100,3.94,ca,1675826882
325,boende,-0.2837,20.8826,75.09,62,100,1.72,cd,1675826882
326,zabol,31.0278,61.4948,44.58,57,74,4.61,ir,1675826882
327,poum,-20.2317,164.0299,79.9,85,100,15.59,fr,1675826883
328,bilma,18.6929,12.9187,66.25,22,100,7.09,ne,1675826883
329,luwingu,-10.2648,29.9241,60.17,97,100,6.4,zm,1675826883
330,tual,-5.639,132.7429,81.86,77,98,21.14,id,1675826883
331,kabin buri,13.9917,101.7195,83.03,100,34,5.01,th,1675826884
332,port-gentil,-0.7149,8.7797,80.65,80,92,8.77,ga,1675826884
333,galveston,29.2993,-94.7946,69.1,92,100,14.97,us,1675826884
334,santa maria del oro,25.9541,-105.3669,51.49,23,58,5.84,mx,1675826884
335,farra d'isonzo,45.908,13.5165,33.39,57,0,4.61,it,1675826885
336,de aar,-30.6506,24.0075,66.33,71,100,11.52,za,1675826885
337,terney,45.0504,136.6137,22.23,45,27,7.85,ru,1675826885
338,mangai,-1.7507,41.1721,71.8,98,35,3.67,ke,1675826885
339,tayshet,55.9385,98.0197,18.61,95,100,3.71,ru,1675826886
340,samusu,-13.9974,-171.4289,82.17,78,44,12.59,ws,1675826886
341,sitka,57.0525,-135.3376,35.42,80,75,5.75,us,1675826886
342,menongue,-14.6611,17.682,61.59,82,100,3.31,ao,1675826887
343,lompoc,34.6392,-120.4579,52.02,85,0,8.01,us,1675826738
344,mlowo,-9.014,33.0021,59.47,86,100,1.92,tz,1675826887
345,richards bay,-28.7708,32.0578,72.27,96,10,7.43,za,1675826887
346,nkayi,-19.01,28.8969,64.02,77,34,5.53,zw,1675826888
347,darhan muminggan united banner,41.912,110.2838,20.66,51,100,5.75,cn,1675826888
348,dingle,11.0001,122.6718,81.63,72,100,16.35,ph,1675826888
349,barentsburg,78.0654,14.2172,24.4,71,99,7.52,no,1675826888
350,north bend,47.4958,-121.7849,44.92,89,66,4.0,us,1675826889
351,caconda,-13.7388,15.062,58.42,54,99,4.65,ao,1675826889
352,tautira,-27.1452,-109.4306,74.16,78,20,4.61,cl,1675826889
353,irauçuba,-3.7467,-39.7841,73.24,85,92,2.57,br,1675826889
354,rupert,42.6191,-113.6772,30.15,93,0,0.0,us,1675826890
355,keila,59.3111,24.4209,36.09,89,100,11.5,ee,1675826890
356,sept-îles,50.211,-66.3791,21.54,82,75,17.27,ca,1675826890
357,skjervøy,70.171,20.699,32.68,69,40,24.4,no,1675826890
